voltage,capacity,SoC
3.3779,7.8,0.35984499
3.3782,7.8,0.35984499
3.3785,7.9,0.364458387
3.3789,7.9,0.364458387
3.3792,7.9,0.364458387
3.3795,8,0.369071784
3.3801,8,0.369071784
3.3804,8,0.369071784
3.3807,8.1,0.373685182
3.381,8.1,0.373685182
3.3813,8.2,0.378298579
3.3813,8.2,0.378298579
3.382,8.2,0.378298579
3.382,8.3,0.382911976
3.3823,8.3,0.382911976
3.3829,8.3,0.382911976
3.3829,8.4,0.387525374
3.3832,8.4,0.387525374
3.3835,8.4,0.387525374
3.3838,8.5,0.392138771
3.3841,8.5,0.392138771
3.3844,8.6,0.396752168
3.3847,8.6,0.396752168
3.3851,8.6,0.396752168
3.3854,8.7,0.401365566
3.3857,8.7,0.401365566
3.386,8.7,0.401365566
3.3863,8.8,0.405978963
3.3866,8.8,0.405978963
3.3866,8.8,0.405978963
3.3872,8.9,0.41059236
3.3875,8.9,0.41059236
3.3878,8.9,0.41059236
3.3882,9,0.415205758
3.3885,9,0.415205758
3.3888,9.1,0.419819155
3.3891,9.1,0.419819155
3.3894,9.1,0.419819155
3.3897,9.2,0.424432552
3.39,9.2,0.424432552
3.39,9.2,0.424432552
3.3906,9.3,0.429045949
3.3909,9.3,0.429045949
3.3909,9.3,0.429045949
3.3913,9.4,0.433659347
3.3916,9.4,0.433659347
3.3919,9.5,0.438272744
3.3922,9.5,0.438272744
3.3925,9.5,0.438272744
3.3928,9.6,0.442886141
3.3931,9.6,0.442886141
3.3934,9.6,0.442886141
3.3934,9.7,0.447499539
3.3937,9.7,0.447499539
3.3944,9.7,0.447499539
3.3947,9.8,0.452112936
3.395,9.8,0.452112936
3.3953,9.9,0.456726333
3.3956,9.9,0.456726333
3.3959,9.9,0.456726333
3.3959,10,0.461339731
3.3962,10,0.461339731
3.3965,10,0.461339731
3.3968,10.1,0.465953128
3.3971,10.1,0.465953128
3.3975,10.1,0.465953128
3.3978,10.2,0.470566525
3.3978,10.2,0.470566525
3.3981,10.2,0.470566525
3.3984,10.3,0.475179922
3.3987,10.3,0.475179922
3.399,10.4,0.47979332
3.3993,10.4,0.47979332
3.3996,10.4,0.47979332
3.3996,10.5,0.484406717
3.3999,10.5,0.484406717
3.4002,10.5,0.484406717
3.4006,10.6,0.489020114
3.4009,10.6,0.489020114
3.4015,10.6,0.489020114
3.4018,10.7,0.493633512
3.4018,10.7,0.493633512
3.4021,10.8,0.498246909
3.4024,10.8,0.498246909
3.4027,10.8,0.498246909
3.403,10.9,0.502860306
3.4033,10.9,0.502860306
3.4033,10.9,0.502860306
3.4037,11,0.507473704
3.404,11,0.507473704
3.4043,11,0.507473704
3.4046,11.1,0.512087101
3.4049,11.1,0.512087101
3.4052,11.1,0.512087101
